animaisPericulosos,Invasão de habitat natural.,fatalidade,Fazer barulho ao estacionar o veículo (apito e buzina) / Manter o silêncio durante o caminhamento / Utilizar todos os EPIS necessário pra atividade. Atenção durante caminhamento e locais de parada / Não deixar mochilas abertas e luvas no chão / Não deixar restos de comida no ambiente.
perdido,Falha de Equipamento / Falha na Comunicação.,primeiro_socorro,Planejamento de campo / Pré-teste de equipamentos de localização e comunicação. Elabora um segundo plano.
queda,Piso irregular / Quebra de relevo / Buracos ou blocos no piso,primeiro_socorro,Cautela no caminhamento / Evitar transpor buracos ou blocos desnecessariamente.
condicaoRuim,Planejamento de campo ruim / Falta de equipamento de detecção / Trabalho em períodos chuvosos ou com ventos intensos,fatalidade,Portar SkyScan ligado durante a atividade / Respeitar os alertas amarelo e vermelho / Evitar locais arborizados / Não se apoiar em árvores com aparência frágil / Abrigar-se em caso de tempestade repentina.
